/github/workspace/fsh-generated/resources/BodyStructure-example-body-structure.json: line 25, col 8, Error - Unable to resolve resource with reference 'ExampleCondition' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 68, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 70, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 82, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 84, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 94, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 96, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 114, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 116, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 128, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 130, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 148, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 150, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 168, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 170, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 188, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 190, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 208, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 210, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-vital-signs-base.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 18, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:area - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 35, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:area - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 18, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:volume - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 35, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:volume - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 62, col 4, Error - Unable to resolve resource with reference 'Patient/cancer-patient-eve-anyperson' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 65, col 4, Error - Unable to resolve resource with reference 'Tumor/any-specimen-of-patient-eve-anyperson' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-tumor-size-pathology.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 18, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:area - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 35, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:area - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 18, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:volume - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 35, col 6, Error - Slicing cannot be evaluated: Could not match discriminator (1) for slice [code] in profile Observation.component:volume - the discriminator https://www.vision-zero-oncology.de/fhir/StructureDefinition/tumor-measurement|0.1.0 does not have fixed value, binding or existence assertions (PROCESSING)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 63, col 4, Error - Unable to resolve resource with reference 'Patient/cancer-patient-eve-anyperson' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 67, col 6, Error - Unable to resolve resource with reference 'BodyStructure/tumor-lobular-carcinoma-left-breast' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-tumor-size-radiology.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-recist-read-procedure.json: line 11, col 8, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-recist-read-procedure.json: line 19, col 4, Error - Unable to resolve resource with reference 'Pateint/examplePatient' (STRUCTURE)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-recist-read-procedure.json: line 32, col 6, Error - Unable to resolve resource with reference 'DiagnosticReport/exampleDiagnosticReport' (STRUCTURE)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-tnm-read-procedure.json: line 11, col 8, Info - The code '103693007' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-tnm-read-procedure.json: line 22, col 4, Error - None of the codings provided are in the value set 'Valueset for TNM Radiological Read Procedures' (https://www.vision-zero-oncology.de/fhir/ValueSet/vs-tnm-radiological-read-procedure|0.1.0), and a coding from this value set is required) (codes = http://snomed.info/sct#254317004) (CODEINVALID)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-tnm-read-procedure.json: line 24, col 8, Info - The code '254317004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-tnm-read-procedure.json: line 19, col 4, Error - Unable to resolve resource with reference 'Patient/examplePatient' (STRUCTURE)
/github/workspace/fsh-generated/resources/Procedure-example-radiological-tnm-read-procedure.json: line 32, col 6, Error - Unable to resolve resource with reference 'DiagnosticReport/exampleDiagnosticReport' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 30, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 30, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 30, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 1, col 2, Error - ResearchStudy.category:studyCategory: max allowed = 1, but found 2 (from https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0) (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 30, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 32, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 39, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 41, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 105, col 4, Error - Unable to resolve resource with reference 'Organization/UKSH' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyNapkonCovidom.json: line 102, col 4, Error - Unable to resolve resource with reference 'Practitioner/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 35, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, studyDesign (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 35, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfBlinding (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 35, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Error - Profile https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0, Element matches more than one slice - studyCategory, typeOfRandomization (INVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 1, col 2, Error - ResearchStudy.category:studyCategory: max allowed = 1, but found 4 (from https://www.vision-zero-oncology.de/fhir/StructureDefinition/clinical-study|0.1.0) (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 35, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 37, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 44, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 46, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 53, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 55, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 62, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/studienkategorien-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 64, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 73, col 6, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 75, col 10, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 118, col 4, Error - Unable to resolve resource with reference 'Practitioner/example' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 122, col 6, Error - Unable to resolve resource with reference 'Organization/Charite-dermatology' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 125, col 6, Error - Unable to resolve resource with reference 'Organization/Sabouraud-Center' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 128, col 6, Error - Unable to resolve resource with reference 'Organization/Diagnostic-consulting-center-XXIV-Sofia' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 131, col 6, Error - Unable to resolve resource with reference 'Organization/SC-Centrul-Medical-Sana-SRL' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 138, col 8, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 138, col 8, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 138, col 8, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 140, col 12, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 151, col 8, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 151, col 8, Warning - Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 151, col 8, Warning - Code System URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' is unknown so the code cannot be validated; Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/ResearchStudy-ExampleStudyRAAINBOW.json: line 153, col 12, Info - The definition for the Code System with URI 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/ResearchSubject-ExampleResearchSubjectStudienteilnehmer.json: line 27, col 4, Error - Unable to resolve resource with reference 'ResearchStudy/MII-Beispielstudie' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchSubject-ExampleResearchSubjectStudienteilnehmer.json: line 30, col 4, Error - Unable to resolve resource with reference 'Patient/MII-Patient' (STRUCTURE)
/github/workspace/fsh-generated/resources/ResearchSubject-ExampleResearchSubjectStudienteilnehmer.json: line 33, col 4, Error - Unable to resolve resource with reference 'Consent/MII-Consent' (STRUCTURE)
/github/workspace/fsh-generated/resources/StructureDefinition-body-height.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-body-height.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-body-structure-base.json: line 1, col 14094, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-body-structure-base.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-body-weight.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-body-weight.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosesicherung-icd-o.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosesicherung-icd-o.json: line 0, col 0, Warning - The valueSet reference https://www.vision-zero-oncology.de/fhir/ValueSet/vs-diagnosesicherung-icdo3 on element Extension.value[x] could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosesicherung-icd-o.json: line 0, col 0, Warning - The valueSet reference https://www.vision-zero-oncology.de/fhir/ValueSet/vs-diagnosesicherung-icdo3 on element Extension.value[x] could not be resolved (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosis.json: line 1, col 623, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosis.json: line 1, col 1232, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosis.json: line 1, col 5250, Warning - The markdown contains content that appears to be an embedded HTML tag starting at 'En'. This will (or SHOULD) be escaped by the presentation layer. The content should be checked to confirm that this is the desired behaviour (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-diagnosis.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-ecog-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-ecog-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
/github/workspace/fsh-generated/resources/StructureDefinition-ecog-performance-status.json: line 0, col 0, Info - The repeating element has a pattern. The pattern will apply to all the repeats (this has not been clear to all users) (EXCEPTION)
